shape of p1 (99, 2)
shape of p2 (99, 2)
         101370 function calls (98468 primitive calls) in 0.202 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      149    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:778(spec_from_file_location)
        1    0.000    0.000    0.001    0.001 base64.py:1(<module>)
        1    0.001    0.001    0.001    0.001 extras.py:263(_fromnxfunction_single)
       36    0.000    0.000    0.001    0.000 getlimits.py:111(_float_to_str)
        5    0.000    0.000    0.001    0.000 typing.py:2874(__new__)
       33    0.000    0.000    0.001    0.000 typing.py:1503(copy_with)
      119    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1146(path_stats)
     1893    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
       93    0.000    0.000    0.001    0.000 typing.py:299(_deduplicate)
        1    0.000    0.000    0.001    0.001 hashlib.py:1(<module>)
      144    0.000    0.000    0.001    0.000 typing.py:1705(__hash__)
       14    0.000    0.000    0.001    0.000 hashlib.py:126(__get_openssl_constructor)
       57    0.000    0.000    0.001    0.000 _compiler.py:241(_optimize_charset)
5079/4935    0.001    0.000    0.001    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.001    0.001 gzip.py:1(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:351(_sanity_check)
       11    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
       18    0.000    0.000    0.001    0.000 arrayprint.py:1595(_array_str_implementation)
     1000    0.000    0.000    0.001    0.000 _parser.py:164(__getitem__)
        3    0.000    0.000    0.001    0.000 warnings.py:130(filterwarnings)
      162    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
      317    0.000    0.000    0.001    0.000 function_base.py:483(_add_docstring)
        1    0.000    0.000    0.001    0.001 _add_newdocs_scalars.py:1(<module>)
       18    0.000    0.000    0.001    0.000 arrayprint.py:506(wrapper)
        1    0.000    0.000    0.001    0.001 contextvars.py:1(<module>)
        1    0.000    0.000    0.001    0.001 ipaddress.py:2265(_IPv6Constants)
        1    0.001    0.001    0.001    0.001 {method 'dot' of 'numpy.ndarray' objects}
       22    0.000    0.000    0.001    0.000 _compiler.py:509(_compile_info)
        1    0.000    0.000    0.001    0.001 _scalars.py:1(<module>)
        2    0.000    0.000    0.001    0.000 hashlib.py:82(__get_builtin_constructor)
      245    0.000    0.000    0.001    0.000 {built-in method builtins.max}
       28    0.000    0.000    0.001    0.000 ipaddress.py:2189(__init__)
       49    0.000    0.000    0.001    0.000 core.py:131(get_object_signature)
      119    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:642(_classify_pyc)
       15    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1408(_path_hooks)
        5    0.000    0.000    0.001    0.000 typing.py:2855(_make_nmtuple)
     1624    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
       18    0.001    0.000    0.001    0.000 arrayprint.py:1588(_guarded_repr_or_str)
       26    0.000    0.000    0.001    0.000 core.py:6855(__init__)
      274    0.000    0.000    0.000    0.000 typing.py:1287(__getattr__)
       26    0.000    0.000    0.000    0.000 core.py:6860(getdoc)
        1    0.000    0.000    0.000    0.000 nanfunctions.py:1(<module>)
      570    0.000    0.000    0.000    0.000 _parser.py:254(get)
     1881    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
   172/57    0.000    0.000    0.000    0.000 _parser.py:174(getwidth)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1542(_IPv4Constants)
        1    0.000    0.000    0.000    0.000 struct.py:1(<module>)
      357    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
       19    0.000    0.000    0.000    0.000 ipaddress.py:1475(__init__)
     1793    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
      119    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:675(_validate_timestamp_pyc)
     3639    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
      159    0.000    0.000    0.000    0.000 __init__.py:89(find_spec)
        1    0.000    0.000    0.000    0.000 pickle.py:197(<listcomp>)
     1868    0.000    0.000    0.000    0.000 typing.py:1695(<genexpr>)
     3217    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       52    0.000    0.000    0.000    0.000 core.py:894(__init__)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
      107    0.000    0.000    0.000    0.000 __init__.py:163(match)
      159    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:920(find_spec)
  108/106    0.000    0.000    0.000    0.000 typing.py:1669(__hash__)
      605    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:1(<module>)
      635    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1030(__exit__)
       14    0.000    0.000    0.000    0.000 __init__.py:198(split)
